Model,Observations,Average VaR,Violations,Violation Rate,Kupiec LR,Kupiec p-value,Non-overlapping Observations,Non-overlapping Violations,Non-overlapping Violation Rate,Kupiec LR (Non-overlapping),Kupiec p-value (Non-overlapping),Independence LR (Non-overlapping),Independence p-value (Non-overlapping),Conditional Coverage LR (Non-overlapping),Conditional Coverage p-value (Non-overlapping),Traffic Light Avg Violations,Traffic Green Ratio,Traffic Yellow Ratio,Traffic Red Ratio
Historical,3764,56454.66054963286,38,0.010095642933049946,0.0034670010678610197,0.9530466960790317,753,6,0.00796812749003984,0.3375111495142562,0.5612693686242143,4.497697888546156,0.03394051743603482,4.8352090380604125,0.08913488283640743,2.6809903244166193,0.8096186681844052,0.0964712578258395,0.09391007398975526
Parametric,3764,38241.95034028265,83,0.022051009564293306,41.102776148815224,1.444310438074265e-10,753,17,0.02257636122177955,8.867636100126703,0.0029027077713262087,0.7279667652077251,0.3935430339462024,9.595602865334428,0.008247860606680885,5.780876494023905,0.5230506545247581,0.2771770062606716,0.1997723392145703
Monte Carlo,3764,38222.972058563144,83,0.022051009564293306,41.102776148815224,1.444310438074265e-10,753,17,0.02257636122177955,8.867636100126703,0.0029027077713262087,0.7279667652077251,0.3935430339462024,9.595602865334428,0.008247860606680885,5.780876494023905,0.5412635173591349,0.2640865110984633,0.19464997154240182
EWMA,3764,32684.730808398817,159,0.0422422954303932,219.4622001190644,1.1849283669398124e-49,753,30,0.0398406374501992,38.68234187811197,4.987003257288745e-10,0.49371934392556227,0.4822728648352924,39.17606122203753,3.1119054576671128e-09,10.924018212862835,0.04240182128628344,0.4140580535002846,0.543540125213432
GARCH,3764,33832.95299410009,131,0.03480340063761955,142.38688052910175,8.003657628213855e-33,753,25,0.033200531208499334,25.471682653247797,4.4892380907717584e-07,1.2916341245100114,0.2557470206130701,26.763316777757808,1.543190719957646e-06,9.000569151963575,0.18895845190665908,0.4499146272054639,0.36112692088787707
FHS,3764,40779.49956124516,75,0.019925611052072262,29.06894441479244,6.984772078588213e-08,753,15,0.0199203187250996,5.809759376134878,0.01593747477258916,0.6106256046359135,0.4345523561465855,6.420384980770791,0.040348845759598864,5.255264655663062,0.4914627205463859,0.32498577120091066,0.18355150825270347
