Date,Realized 5-day PnL,Historical VaR,Parametric VaR,Monte Carlo VaR,EWMA VaR,GARCH VaR,FHS VaR
2006-03-22,-10723.206821676198,,,,,,
2006-03-23,256.5441719415175,,,,,,
2006-03-24,5962.882364236238,,,,,,
2006-03-27,10920.495573153761,,,,,,
2006-03-28,18353.6835989029,,,,,,
2006-03-29,27699.982587018934,,,,,,
2006-03-30,29942.91668705496,,,,,,
2006-03-31,27382.638851894408,,,,,,
2006-04-03,17070.43316179303,,,,,,
2006-04-04,8783.149715704722,,,,,,
2006-04-05,82.95913470081958,,,,,,
2006-04-06,-6301.031518146315,,,,,,
2006-04-07,-3265.575857817086,,,,,,
2006-04-10,4512.954970474484,,,,,,
2006-04-11,10097.213819967623,,,,,,
2006-04-12,16347.16657368952,,,,,,
2006-04-13,14238.11663562414,,,,,,
2006-04-17,15068.605044080181,,,,,,
2006-04-18,3963.441014796923,,,,,,
2006-04-19,-6903.257325625758,,,,,,
2006-04-20,-2727.1320210563063,,,,,,
2006-04-21,2395.1618494274467,,,,,,
2006-04-24,-11692.270469759189,,,,,,
2006-04-25,-2715.8948361341136,,,,,,
2006-04-26,1867.077722301407,,,,,,
2006-04-27,-1995.5140752706277,,,,,,
2006-04-28,1949.6828653732878,,,,,,
2006-05-02,7527.15145185719,,,,,,
2006-05-03,3252.84780953705,,,,,,
2006-05-04,4855.905130198878,,,,,,
2006-05-08,-5346.157612428794,,,,,,
2006-05-09,-19309.33594473853,,,,,,
2006-05-10,-27056.153542510292,,,,,,
2006-05-11,-23929.27215737318,,,,,,
2006-05-12,-39173.727483698334,,,,,,
2006-05-15,-25514.621020724382,,,,,,
2006-05-16,-29844.203760665154,,,,,,
2006-05-17,-23819.786422018202,,,,,,
2006-05-18,-25634.08629129353,,,,,,
2006-05-19,-22874.651204339905,,,,,,
2006-05-22,-15778.441615255337,,,,,,
2006-05-23,-9672.300805407016,,,,,,
2006-05-24,-12273.306930468023,,,,,,
2006-05-25,-7280.043170967702,,,,,,
2006-05-26,-8112.73622913582,,,,,,
2006-05-30,-44436.8539278389,,,,,,
2006-06-01,-47624.29136247045,,,,,,
2006-06-02,-30374.044963491247,,,,,,
2006-06-05,-34757.18291459628,,,,,,
2006-06-07,-39708.74494635318,,,,,,
2006-06-08,-8479.50595615196,,,,,,
2006-06-09,4655.452192316712,,,,,,
2006-06-12,6581.107185783409,,,,,,
2006-06-13,-2653.443685209129,,,,,,
2006-06-14,3299.5252606853755,,,,,,
2006-06-15,-462.09428822916504,,,,,,
2006-06-16,-4647.800245323394,,,,,,
2006-06-19,-21767.124903870583,,,,,,
2006-06-20,-9594.371502223697,,,,,,
2006-06-21,4277.9025861130895,,,,,,
2006-06-22,-1444.7751362328,,,,,,
2006-06-23,16309.76072538213,,,,,,
2006-06-26,33502.26827232622,,,,,,
2006-06-27,30957.78588893543,,,,,,
2006-06-28,17046.311931546494,,,,,,
2006-06-29,15127.539547167487,,,,,,
2006-06-30,417.520614178114,,,,,,
2006-07-03,-5168.841813584978,,,,,,
2006-07-05,-5389.759933054856,,,,,,
2006-07-06,4062.8252540894073,,,,,,
2006-07-07,292.4946605755135,,,,,,
2006-07-10,-14045.815946476356,,,,,,
2006-07-11,-33498.761340291494,,,,,,
2006-07-12,-30087.24132570977,,,,,,
2006-07-13,-15512.032627296658,,,,,,
2006-07-14,-10794.47984509622,,,,,,
2006-07-18,2400.1179424250618,,,,,,
2006-07-19,21136.723670044146,,,,,,
2006-07-20,18004.462326697776,,,,,,
2006-07-21,8239.166621516391,,,,,,
2006-07-24,15907.125856379045,,,,,,
2006-07-25,15309.317760656179,,,,,,
2006-07-26,2637.839446825759,,,,,,
2006-07-27,5010.7641966631345,,,,,,
2006-07-28,-356.8476318649909,,,,,,
2006-07-31,417.2127148045629,,,,,,
2006-08-01,-6360.496105799611,,,,,,
2006-08-02,4177.760412054562,,,,,,
2006-08-03,2804.0555335778017,,,,,,
2006-08-04,5821.92597414601,,,,,,
2006-08-07,-4485.110313122443,,,,,,
2006-08-08,622.3879008686699,,,,,,
2006-08-09,7199.793878272201,,,,,,
2006-08-10,9361.94859567199,,,,,,
2006-08-11,10993.361188490768,,,,,,
2006-08-14,13343.61422106938,,,,,,
2006-08-16,18704.370350986905,,,,,,
2006-08-17,4854.871759378196,,,,,,
2006-08-18,-1507.1517393006052,,,,,,
2006-08-21,1044.557326378293,,,,,,
2006-08-22,4832.20513240788,,,,,,
2006-08-23,6375.828906624233,,,,,,
2006-08-24,11378.410478931866,,,,,,
2006-08-25,18950.952019911874,,,,,,
2006-08-28,18731.129458536914,,,,,,
2006-08-29,24702.873535593273,,,,,,
2006-08-30,15273.52452023068,,,,,,
2006-08-31,10997.095205897318,,,,,,
2006-09-01,9865.509294631951,,,,,,
2006-09-05,-1346.8340516679025,,,,,,
2006-09-06,-7506.486452199724,,,,,,
2006-09-07,-144.87695676966646,,,,,,
2006-09-08,9809.656632824799,,,,,,
2006-09-11,8498.08542125279,,,,,,
2006-09-12,20383.796817688086,,,,,,
2006-09-13,20978.05654350252,,,,,,
2006-09-14,16638.982828241104,,,,,,
2006-09-15,9166.521941733741,,,,,,
2006-09-18,-2372.9354770348523,,,,,,
2006-09-19,-4240.194318473395,,,,,,
2006-09-20,-8788.609534652072,,,,,,
2006-09-21,-3657.5469538717934,,,,,,
2006-09-22,456.9137969581516,,,,,,
2006-09-25,8264.700137092053,,,,,,
2006-09-26,3528.415471160107,,,,,,
2006-09-27,3221.035638157067,,,,,,
2006-09-28,-30708.189696241036,,,,,,
2006-09-29,-27024.361256846136,,,,,,
2006-10-02,-27533.66746615968,,,,,,
2006-10-04,-16812.010061574663,,,,,,
2006-10-09,-7451.705509936696,,,,,,
2006-10-10,27847.351886409797,,,,,,
2006-10-11,16223.122723203638,,,,,,
2006-10-12,18695.206540422103,,,,,,
2006-10-13,8910.68547289351,,,,,,
2006-10-16,7436.50700412451,,,,,,
2006-10-17,4231.3273705783295,,,,,,
2006-10-18,8076.4343572417365,,,,,,
2006-10-19,10348.492297541661,,,,,,
2006-10-20,13163.726258993065,,,,,,
2006-10-23,6166.853975126486,,,,,,
2006-10-24,-1291.8653511648088,,,,,,
2006-10-25,3906.254271237324,,,,,,
2006-10-26,4752.0867727551695,,,,,,
2006-10-27,3546.2127255495407,,,,,,
2006-10-30,5167.587032220851,,,,,,
2006-10-31,12638.143768821437,,,,,,
2006-11-01,10553.965484749055,,,,,,
2006-11-02,4129.4012504379925,,,,,,
2006-11-03,7610.426598524944,,,,,,
2006-11-06,9449.559890006783,,,,,,
2006-11-07,7781.91745611757,,,,,,
2006-11-08,9942.137960450054,,,,,,
2006-11-09,12101.268520344705,,,,,,
2006-11-10,8297.935645523574,,,,,,
2006-11-13,9423.226901154907,,,,,,
2006-11-14,5490.544439604896,,,,,,
2006-11-15,1272.1698926632134,,,,,,
2006-11-16,8043.9637037919165,,,,,,
2006-11-17,7096.091136567102,,,,,,
2006-11-20,2205.3902635050586,,,,,,
2006-11-21,2801.7533188455554,,,,,,
2006-11-22,7383.00228409205,,,,,,
