Date,^KS11,^KQ11,IEF,^GSPC
2006-01-03,1394.8699951171875,735.1500244140625,48.76194381713867,1268.800048828125
2006-01-04,1402.1099853515625,740.47998046875,48.84912109375,1273.4599609375
2006-01-05,1395.510009765625,736.6599731445312,48.86076354980469,1273.47998046875
2006-01-06,1412.780029296875,747.0999755859375,48.796836853027344,1285.449951171875
2006-01-09,1408.3299560546875,753.8800048828125,48.820091247558594,1290.1500244140625
2006-01-10,1396.2900390625,744.7100219726562,48.62247085571289,1289.68994140625
2006-01-11,1394.0899658203125,744.1699829101562,48.500431060791016,1294.1800537109375
2006-01-12,1402.5799560546875,742.0700073242188,48.67477798461914,1286.06005859375
2006-01-13,1416.280029296875,746.3400268554688,48.88981246948242,1287.6099853515625
2006-01-17,1389.5799560546875,739.0999755859375,48.94792556762695,1282.9300537109375
2006-01-18,1352.9100341796875,708.0800170898438,48.965396881103516,1277.9300537109375
2006-01-19,1360.6400146484375,705.5700073242188,48.843318939208984,1285.0400390625
2006-01-20,1324.780029296875,665.3099975585938,48.92470169067383,1261.489990234375
2006-01-23,1297.4300537109375,601.3300170898438,48.913063049316406,1263.8199462890625
2006-01-24,1326.8299560546875,618.1799926757812,48.831661224365234,1266.8599853515625
2006-01-25,1342.5899658203125,641.969970703125,48.52949142456055,1264.6800537109375
2006-01-26,1352.75,653.52001953125,48.42488098144531,1273.8299560546875
2006-01-27,1384.56005859375,677.6900024414062,48.45975112915039,1283.719970703125
2006-01-31,1399.8299560546875,690.239990234375,48.42488098144531,1280.0799560546875
2006-02-01,1375.969970703125,661.1900024414062,48.275604248046875,1282.4599609375
2006-02-02,1374.43994140625,664.4400024414062,48.275604248046875,1270.8399658203125
2006-02-03,1333.5,641.2000122070312,48.42136001586914,1264.030029296875
2006-02-06,1341.6400146484375,644.9299926757812,48.35139465332031,1265.02001953125
2006-02-07,1332.280029296875,650.0700073242188,48.293113708496094,1254.780029296875
2006-02-08,1310.989990234375,643.489990234375,48.26392364501953,1265.6500244140625
